year,gdp_official,gdp_status,gdp_source,tertiary_official,tertiary_status,tertiary_source,tourist_arrivals_official,tourist_arrivals_status,tourist_arrivals_source,tourism_revenue_official,tourism_revenue_status,tourism_revenue_source,tourist_arrivals_non_strict_supplement,tourism_revenue_non_strict_supplement,covid_dummy,definition_break_2019,tourist_arrivals_model,tourist_arrivals_model_status,tourism_revenue_model,tourism_revenue_model_status,imputation_low,imputation_high
2010,215.47,official_yearbook_latest_vintage,蓟州统计年鉴2012；22-17 蓟县基本情况；latest_available_vintage,136.23,official_yearbook_latest_vintage,蓟州统计年鉴2012；22-17 蓟县基本情况；latest_available_vintage,848,official_actual,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html,,missing,,,35.5,0,0,848,official,32.88,imputed_loglog_from_official_arrivals,28.27,38.25
2011,250.11,official_yearbook_latest_vintage,蓟州统计年鉴2012；22-17 蓟县基本情况；latest_available_vintage,147.02,official_yearbook_latest_vintage,蓟州统计年鉴2012；22-17 蓟县基本情况；latest_available_vintage,1098.6,official_actual,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,46,official_actual,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html,,,0,0,1098.6,official,46,official,,
2012,291.52,official_yearbook_latest_vintage,蓟州统计年鉴2014；22-17 蓟县基本情况；latest_available_vintage,168.36,official_yearbook_latest_vintage,蓟州统计年鉴2014；22-17 蓟县基本情况；latest_available_vintage,1152,official_actual,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html,52,official_actual,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202990.html,,,0,0,1152,official,52,official,,
2013,316.84,official_yearbook_latest_vintage,蓟州统计年鉴2015；22-17 蓟县基本情况；latest_available_vintage,184.98,official_yearbook_latest_vintage,蓟州统计年鉴2015；22-17 蓟县基本情况；latest_available_vintage,1295,official_actual,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qjjg/whhlyj2/202012/t20201227_5212681.html,63.2,official_actual,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qjjg/whhlyj2/202012/t20201227_5212681.html,,,0,0,1295,official,63.2,official,,
2014,350.91,official_yearbook_latest_vintage,蓟州统计年鉴2016；22-17 蓟县基本情况；latest_available_vintage,205.27,official_yearbook_latest_vintage,蓟州统计年鉴2016；22-17 蓟县基本情况；latest_available_vintage,1554,official_actual,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html,79,official_actual,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203044.html,,,0,0,1554,official,79,official,,
2015,390.54,official_yearbook_latest_vintage,蓟州统计年鉴2017；22-17 蓟州区基本情况；latest_available_vintage,239.01,official_yearbook_latest_vintage,蓟州统计年鉴2017；22-17 蓟州区基本情况；latest_available_vintage,1814.4,official_actual,https://www.tjjz.gov.cn/xwzx/GSGG20201207/202012/W020201226537834083333.pdf,94,official_actual,https://www.tjjz.gov.cn/xwzx/GSGG20201207/202012/W020201226537834083333.pdf,,,0,0,1814.4,official,94,official,,
2016,386.54,official_yearbook_latest_vintage,蓟州统计年鉴2018；22-17 蓟州区基本情况；latest_available_vintage,228.44,official_yearbook_latest_vintage,蓟州统计年鉴2018；22-17 蓟州区基本情况；latest_available_vintage,2086.27,official_actual,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212536.html,109.6,official_actual,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212536.html,,,0,0,2086.27,official,109.6,official,,
2017,365.42,official_yearbook_latest_vintage,蓟州统计年鉴2019；24-17 蓟州区基本情况；latest_available_vintage,213.38,official_yearbook_latest_vintage,蓟州统计年鉴2019；24-17 蓟州区基本情况；latest_available_vintage,2400,official_actual,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203142.html,130,official_actual,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5203142.html,,,0,0,2400,official,130,official,,
2018,381.66,official_yearbook_latest_vintage,蓟州统计年鉴2019；24-17 蓟州区基本情况；latest_available_vintage,234.32,official_yearbook_latest_vintage,蓟州统计年鉴2019；24-17 蓟州区基本情况；latest_available_vintage,2660,official_actual,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qzf2/202012/W020201227396987558810.pdf,142,official_actual,https://www.tjjz.gov.cn/zwgk/zcwj/qjwj/qzf2/202012/W020201227396987558810.pdf,,,0,0,2660,official,142,official,,
2019,219.62,official_yearbook_latest_vintage,蓟州统计年鉴2021；25-17 蓟州区基本情况；latest_available_vintage,136.91,official_yearbook_latest_vintage,蓟州统计年鉴2021；25-17 蓟州区基本情况；latest_available_vintage,2800,official_actual,https://www.tjjz.gov.cn/zwgk/jcygk/jcygk1/202201/P020211220620296518186.pdf,165,official_actual,https://www.tjjz.gov.cn/zwgk/jcygk/jcygk1/202201/P020211220620296518186.pdf,,,0,1,2800,official,165,official,,
