年份,来源URL
2011,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212509.html
2012,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212172.html
2013,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212535.html
2014,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212510.html
2015,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212495.html
2016,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212533.html
2017,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202012/t20201227_5212618.html
2018,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495861.html
2019,https://www.tjjz.gov.cn/zwgk/zfxxgkqjjg/tjj1/fdzdgknr34/tjxx34/202107/t20210705_5495855.html
2020,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202211/t20221128_6044242.html
2021,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202211/t20221128_6044242.html
2022,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202311/t20231108_6450942.html
2023,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202501/t20250103_6824073.html
2024,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/t20251126_7185954.html
