year,turnover_10k_cny,room_revenue_10k_cny,meal_revenue_10k_cny,goods_sales_10k_cny,other_revenue_10k_cny,rooms,beds,dining_seats,source_url,source_table
2014,28048,9778,15852,111,2308,3739,7589,13054,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
2015,29363,12643,14536,43,2140,4008,7936,12895,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
2016,32816,12261,18283,127,2145,6744,16386,14448,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
2017,16500,5855,8540,,2106,1402,2772,9160,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
2018,17131,6772,8520,13,1825,1402,2596,7260,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
2019,17399,6538,7927,10,2924,1391,2600,8710,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
2020,15125,6068,7237,6,1814,1441,2672,8040,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
2021,16824,7126,7341,3,2356,1342,2474,7946,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
2022,12130,4632,5325,111,2062,1085,1934,5184,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
2023,18966,7053,9303,177,2433,1361,2292,4207,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
2024,17665,7312,9133,219,1001,2178,3673,3754,https://www.tjjz.gov.cn/zwgk/sjfb/tjnb/202511/W020251126560102082891.pdf,限额以上住宿和餐饮业经营情况（2014—2024年）
