year,title,keyword,percentages_nearby,snippet,url
2010,蓟县2010年政府工作报告_政府工作报告__天津市蓟州区人民政府,河北,, 市交通运输委 市退役军人事务局 市卫生健康委 市文化和旅游局 市市场监管委 市外办 市审计局 市应急局 市医保局 市统计局 市体育局 市国资委 市信访办 市机关事务管理局 市金融局 市政务服务办 市消防救援总队 市知识产权局 市粮食和物资储备局 区政府网站 河北区 和平区 滨海新区 红桥区 南开区 河东区 河西区 津南区 西青区 东丽区 静海区 宝坻区 武清区 北辰区 宁河区 有关单位 市高法 市政协 市人大 市残联 市妇联 市地震局 市检察院 天津日报 人民网天津频道 中国文明网 北方网 天津电视台 今晚报 网站地,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202933.html
2010,蓟县2010年政府工作报告_政府工作报告__天津市蓟州区人民政府,山东,,潮。建好 10 个文化产业重大项目，加快推进荣宝斋文化创作产业园、孝道文化园建设，力争再引进一批高水平大项目，旅游文化产业园区取得明显变化。 着力促进文旅结合、商旅结合。积极筹划 大型实景演出，加快开发旅游纪念品，开辟精品文化旅游线路，打响文化旅游品牌。抓好燕山东路两侧、大盘山地区的五星级酒店建设，打造高星级酒店集群。启动西部控股财富广场、象山国际旅游城 等项目 ，打造地标性商贸综合设施。加快提升古文化街业态，建设小吃一条街、精品服装街、旅游山货市场，促进旅游消费。继续办好梨园情旅游文化节、渔阳金秋旅游节、长城国际马拉,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202933.html
2010,蓟县2010年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津,107.4 ％,游经营秩序，加强景区内部管理，推进周边环境治理。启动下营特色小镇建设。推进乡村旅游规范提升工程，创建 8 个示范村，不断丰富乡村旅游内涵。 （六）进一步打造生态宜居城市 着眼城市未来，突出城市特色，高水平建设，高效能管理，城乡环境面貌取得明显变化，进一步展现“京津后花园”的独特魅力。 加快城市载体建设。全年安排基础设施项目 23 个，投资 25.1 亿元，增长 107.4 ％。实施路网提升工程，启动京秦、塘承高速公路蓟县段工程；开工燕山西路，建成盘山大道、盘山南路、大学城南路，提升宝平路，完善东部休闲度假组团路网工程；,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202933.html
2010,蓟县2010年政府工作报告_政府工作报告__天津市蓟州区人民政府,游客,"15.4 ％,26.1 ％,20 ％,29.5 ％",保基金会、平安保险公司达成共建老年文化产业园战略合作。大盘山地区投资规模突破 600 亿元。景区景点建设全面推进。乡村旅游进一步规范，市级旅游特色村发展到 81 个。成功举办渔阳金秋旅游节、金融高层论坛、长城国际马拉松大赛、首届梨园情旅游文化节等活动。全年接待游客 731 万人次，综合收入 29.5 亿元，分别增长 15.4 ％和 26.1 ％。商贸流通更加活跃，社会消费品零售额 57.6 亿元，增长 20 ％。房地产业快速回升，商品房销售面积增长两倍以上。服务业增加值增长 29.5 ％，拉动全县经济增长 15.5 个,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202933.html
2011,2011年政府工作报告_政府工作报告__天津市蓟州区人民政府,天津,,内；节能减排完成市政府下达指标。经过全县人民的共同奋斗，使我县综合实力显著增强，产业结构显著优化，城市功能显著提升，民计民生显著改善，生态建设显著加强，经济实际增长在各区县的排名中位次前移，产业结构、生态环境、机制创新、社会和谐程度位于全市前列，为全面实现 “天津历史文化名城、京津唐生态绿心、中等规模现代化旅游城市” 的总体定位 打下更为坚实的基础。 为实现上述目标， 我们要 大力实施 “五大战略” 。 一是生态优先战略 。把生态建设摆在更加突出的位置，打好于桥水库水源保护、矿山创面综合治理、城乡污水垃圾综合处理、城区,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html
2011,2011年政府工作报告_政府工作报告__天津市蓟州区人民政府,河北,, 市交通运输委 市退役军人事务局 市卫生健康委 市文化和旅游局 市市场监管委 市外办 市审计局 市应急局 市医保局 市统计局 市体育局 市国资委 市信访办 市机关事务管理局 市金融局 市政务服务办 市消防救援总队 市知识产权局 市粮食和物资储备局 区政府网站 河北区 和平区 滨海新区 红桥区 南开区 河东区 河西区 津南区 西青区 东丽区 静海区 宝坻区 武清区 北辰区 宁河区 有关单位 市高法 市政协 市人大 市残联 市妇联 市地震局 市检察院 天津日报 人民网天津频道 中国文明网 北方网 天津电视台 今晚报 网站地,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html
2011,2011年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津,66%,污染物排放提前一年完成“十一五”减排任务。 这是重大项目加速集聚、产业结构优化升级的五年 。进行了历史上最大规模的大项目好项目建设，组织实施 166 个亿元以上重大项目，三次产业优化升级竞相发展。旅游业全面提升，带动现代服务业加快发展，引进实施了盘龙谷文化城、京津国际文化产业教育园、滨海体育公园等重大旅游文化项目，完成一批景区提升工程，成功举办一系列大型主题活动，实施农家院旅游“百村千户万人”创建计划， 2010 年全县接待游客 848 万人次，服务业增加值比重达到 66% 。工业载体建设取得突破，专用汽车产业园、酒业,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html
2011,2011年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津,,政府下达指标。经过全县人民的共同奋斗，使我县综合实力显著增强，产业结构显著优化，城市功能显著提升，民计民生显著改善，生态建设显著加强，经济实际增长在各区县的排名中位次前移，产业结构、生态环境、机制创新、社会和谐程度位于全市前列，为全面实现 “天津历史文化名城、京津唐生态绿心、中等规模现代化旅游城市” 的总体定位 打下更为坚实的基础。 为实现上述目标， 我们要 大力实施 “五大战略” 。 一是生态优先战略 。把生态建设摆在更加突出的位置，打好于桥水库水源保护、矿山创面综合治理、城乡污水垃圾综合处理、城区景区镇村环境整治四,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html
2011,2011年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津,,提升战略 。以高水平大项目好项目为抓手，全面推动 三次产业优化升级竞相发展，形成机械制造、新能源新材料、绿色食品加工及生物制药、旅游、文化、健康养生“六大支柱产业”，初步建成先进装备制造业基地、绿色食品生产加工基地、旅游文化创意产业基地、健康养生养老产业基地和京津冀区域休闲度假目的地。 三是城乡统筹战略 。实施新城开发，努力打造“文化古蓟州、京津后花园、健康产业城”；加快建设 文化产业园区、健康产业园区、专用汽车产业园区、酒业及绿色食品加工区，形成集聚效应；集中打造沿津围公路贯穿南北的山水城田城镇空间发展轴，大力推进山,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html
2011,2011年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津,,制造、新能源新材料、绿色食品加工及生物制药、旅游、文化、健康养生“六大支柱产业”，初步建成先进装备制造业基地、绿色食品生产加工基地、旅游文化创意产业基地、健康养生养老产业基地和京津冀区域休闲度假目的地。 三是城乡统筹战略 。实施新城开发，努力打造“文化古蓟州、京津后花园、健康产业城”；加快建设 文化产业园区、健康产业园区、专用汽车产业园区、酒业及绿色食品加工区，形成集聚效应；集中打造沿津围公路贯穿南北的山水城田城镇空间发展轴，大力推进山前文化旅游产业带、中部综合产业带建设，初步形成“一城四区、集约发展，一轴两带、山水生,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html
2011,2011年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津,,上项目、抓发展的积极性。经过三年努力，全县半数以上乡镇实现财政自主。 5 ．以新城建设为契机，全面提升城乡规划建设管理水平 进一步统筹规划建设管理，优化空间布局，完善载体功能，提升文化品位，充分展现独具特色的旅游城市魅力。 全力推进新城建设。按照“文化古蓟州、京津后花园、健康产业城”的定位，坚持高水平规划、高强度投入、高品质建设，基本形成 57 平方公里的城市框架，基本完成 11 平方公里的起步区基础设施建设。深入挖掘历史文化内涵，凝练出魂，体现出形，打造文化新城；建好中央公园、湿地公园和绿化、水景观体系，形成山水生态,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html
2011,2011年政府工作报告_政府工作报告__天津市蓟州区人民政府,京津冀,,提升战略 。以高水平大项目好项目为抓手，全面推动 三次产业优化升级竞相发展，形成机械制造、新能源新材料、绿色食品加工及生物制药、旅游、文化、健康养生“六大支柱产业”，初步建成先进装备制造业基地、绿色食品生产加工基地、旅游文化创意产业基地、健康养生养老产业基地和京津冀区域休闲度假目的地。 三是城乡统筹战略 。实施新城开发，努力打造“文化古蓟州、京津后花园、健康产业城”；加快建设 文化产业园区、健康产业园区、专用汽车产业园区、酒业及绿色食品加工区，形成集聚效应；集中打造沿津围公路贯穿南北的山水城田城镇空间发展轴，大力推进山前,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html
2011,2011年政府工作报告_政府工作报告__天津市蓟州区人民政府,游客,66%,，三次产业优化升级竞相发展。旅游业全面提升，带动现代服务业加快发展，引进实施了盘龙谷文化城、京津国际文化产业教育园、滨海体育公园等重大旅游文化项目，完成一批景区提升工程，成功举办一系列大型主题活动，实施农家院旅游“百村千户万人”创建计划， 2010 年全县接待游客 848 万人次，服务业增加值比重达到 66% 。工业载体建设取得突破，专用汽车产业园、酒业及绿色食品加工区纳入市级示范园，不到一年完成起步区基础配套，引进了 PVC 型材、无机粉体环保纸、生物医药、光伏玻璃、低碳工业园等大项目，全县规模以上企业发展到 151,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202964.html
2012,2012年政府工作报告_政府工作报告__天津市蓟州区人民政府,天津,61%,五”规划目标的 61% 。楼宇经济从无到有，一年时间新增楼宇 14.2 万平方米 、注册企业 100 家，楼宇税收达到 1.5 亿元，呈现出巨大发展潜力 。 （二）着力拓展发展空间，多极联动形成新格局 坚持规划引领，完善提升空间发展战略和城乡总体规划，确立了“天津历史文化名城、京津唐生态绿心、中等规模现代化旅游城市”的发展定位和“一城四区、集约发展，一轴两带、山水生态”的空间布局，为蓟县长远发展打开了空间。蓟县新城全面启动，规划设计、平台搭建、资金筹措 顺利完成，征地、搬迁等群众工作有序进行，还迁安置区正式开工，新城建,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202965.html
2012,2012年政府工作报告_政府工作报告__天津市蓟州区人民政府,天津,,县的山更绿、水更清、环境更优美！ （五）不断深化改革开放，机制创新实现新突破 创新政府融资模式，组建广成集团，资产规模达到 100 亿元，累计融资超过 60 亿元，建立风险防范机制，实现“借用管还”良性循环。扩大金融 合作，加强银企对接，成立全市首家村镇银行，天津银行、哈尔滨银行进驻蓟县，融资渠道进一步拓宽。扎实推进国有集体企业改革，顺利完成挂月集团资产重组、渔阳建工集团改制，组建了蓟州旅游文化集团。深化行政审批制度改革，在全市率先实现行政审批“两归并、一集中”。加大招商引资力度，建立“一个中心、两支队伍、三项机制”，,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202965.html
2012,2012年政府工作报告_政府工作报告__天津市蓟州区人民政府,河北,, 市交通运输委 市退役军人事务局 市卫生健康委 市文化和旅游局 市市场监管委 市外办 市审计局 市应急局 市医保局 市统计局 市体育局 市国资委 市信访办 市机关事务管理局 市金融局 市政务服务办 市消防救援总队 市知识产权局 市粮食和物资储备局 区政府网站 河北区 和平区 滨海新区 红桥区 南开区 河东区 河西区 津南区 西青区 东丽区 静海区 宝坻区 武清区 北辰区 宁河区 有关单位 市高法 市政协 市人大 市残联 市妇联 市地震局 市检察院 天津日报 人民网天津频道 中国文明网 北方网 天津电视台 今晚报 网站地,https://www.tjjz.gov.cn/zwgk/ZFGZBG_20201207/202012/t20201227_5202965.html
