yearbook_year,data_year,region_name,table_title,source_url,local_file,bytes,sha256,status
2011,2010,,,,,,,failed: 2011 年鉴未找到目标目录；已尝试 0 个入口
2012,2011,,,,,,,failed: 2012 年鉴未找到目标目录；已尝试 0 个入口
2013,2012,,,,,,,failed: 2013 年鉴未找到目标目录；已尝试 0 个入口
2014,2013,,,,,,,failed: 2014 年鉴未找到目标目录；已尝试 0 个入口
2015,2014,,,,,,,failed: 2015 年鉴未找到目标目录；已尝试 0 个入口
2016,2015,,,,,,,failed: 2016 年鉴未找到目标目录；已尝试 0 个入口
2017,2016,,,,,,,failed: 2017 年鉴未找到目标目录；已尝试 0 个入口
2018,2017,,,,,,,failed: 2018 年鉴未找到目标目录；已尝试 0 个入口
2019,2018,,,,,,,failed: 2019 年鉴未找到目标目录；已尝试 0 个入口
2020,2019,,,,,,,failed: 2020 年鉴未找到目标目录；已尝试 0 个入口
2021,2020,,,,,,,failed: 2021 年鉴未找到目标目录；已尝试 0 个入口
2022,2021,,,,,,,failed: 2022 年鉴未找到目标目录；已尝试 0 个入口
2023,2022,,,,,,,failed: 2023 年鉴未找到目标目录；已尝试 0 个入口
2024,2023,,,,,,,failed: 2024 年鉴未找到目标目录；已尝试 0 个入口
2025,2024,,,,,,,failed: 2025 年鉴未找到目标目录；已尝试 0 个入口
