indicator,scenario,growth_source,year,anchor_2025,annual_growth,forecast,unit
旅游接待量,正式锚定预测,M1,2026,2691.0,0.08323123992370784,2914.9752666346976,万人次
旅游接待量,正式锚定预测,M1,2027,2691.0,0.08323123992370784,3157.5922724236443,万人次
旅游接待量,正式锚定预测,M1,2028,2691.0,0.08323123992370784,3420.402592430983,万人次
旅游接待量,正式锚定预测,M1,2029,2691.0,0.08323123992370784,3705.0869412372786,万人次
旅游接待量,正式锚定预测,M1,2030,2691.0,0.08323123992370784,4013.465921381595,万人次
旅游接待量,M2偏乐观敏感性,M2,2026,2691.0,0.14254082862471562,3074.5773698291096,万人次
旅游接待量,M2偏乐观敏感性,M2,2027,2691.0,0.14254082862471562,3512.8301757953495,万人次
旅游接待量,M2偏乐观敏感性,M2,2028,2691.0,0.14254082862471562,4013.5518998711245,万人次
旅游接待量,M2偏乐观敏感性,M2,2029,2691.0,0.14254082862471562,4585.646913407056,万人次
旅游接待量,M2偏乐观敏感性,M2,2030,2691.0,0.14254082862471562,5239.288824224467,万人次
旅游综合收入,正式锚定预测,M1,2026,200.0,0.13787955854924094,227.57591170984819,亿元
旅游综合收入,正式锚定预测,M1,2027,200.0,0.13787955854924094,258.9539779528431,亿元
旅游综合收入,正式锚定预测,M1,2028,200.0,0.13787955854924094,294.65843811755093,亿元
旅游综合收入,正式锚定预测,M1,2029,200.0,0.13787955854924094,335.2858134880077,亿元
旅游综合收入,正式锚定预测,M1,2030,200.0,0.13787955854924094,381.51487343955733,亿元
旅游综合收入,M2偏乐观敏感性,M2,2026,200.0,0.186988670323061,237.3977340646122,亿元
旅游综合收入,M2偏乐观敏感性,M2,2027,200.0,0.186988670323061,281.7884206950617,亿元
旅游综合收入,M2偏乐观敏感性,M2,2028,200.0,0.186988670323061,334.4796627932666,亿元
旅游综合收入,M2偏乐观敏感性,M2,2029,200.0,0.186988670323061,397.0235701890853,亿元
旅游综合收入,M2偏乐观敏感性,M2,2030,200.0,0.186988670323061,471.2624796656568,亿元
