series,model,k,AICc,BIC,annual_growth,Duan_smearing,recovery_dummy_p,selected
GDP_adjusted,M0,2,-14.082569038438367,-15.191684566735988,0.06327926954353802,1.0040485926226306,nan,
GDP_adjusted,M1,3,-25.35685887713621,-25.41452645564776,0.057156133134474985,1.0031350401279577,nan,chosen
GDP_adjusted,M2,4,-22.526707278436454,-23.694506474027612,0.06412764233014201,1.0029325557666062,0.38680857574454397,
Tertiary_adjusted,M0,2,-16.99898296083559,-18.108098489133212,0.06571489911390715,1.0030817216761556,nan,
Tertiary_adjusted,M1,3,-30.12926203287605,-30.186929611387598,0.06020760611313758,1.0023257539249355,nan,chosen
Tertiary_adjusted,M2,4,-27.371952220950945,-28.539751416542103,0.06637708647958718,1.0021609612913354,0.3692627421314371,
Tourist_arrivals,M0,2,-28.49935363510088,-29.608469163398503,0.14398783408603966,1.00095271376236,nan,
Tourist_arrivals,M1,3,-2.3342462387972347,-2.3919138173087866,0.08323123992370784,1.0145052022663228,nan,
Tourist_arrivals,M2,4,-33.58540266817025,-34.75320186376141,0.14254082862471562,1.0013967621097322,3.419121314151628e-24,chosen
Tourism_revenue,M0,2,-22.65252823438454,-23.761643762682162,0.19081259219301971,1.0016915374329327,nan,
Tourism_revenue,M1,3,-6.695352516180801,-6.753020094692353,0.1402612957368976,1.0106897530803218,nan,
Tourism_revenue,M2,4,-29.593651456590173,-30.76145065218133,0.19181633046006108,1.001810875867121,1.7209064906817783e-13,chosen
