year,GDP_raw,GDP_adjusted,Tertiary_raw,Tertiary_adjusted,Arrivals_official,Arrivals_main,Arrivals_natural_spline,Revenue_official,Revenue_model,Arrivals_status,Revenue_status
2010,215.47,215.47,136.23,136.23,848.0,848.0,848.0,nan,35.5,official,model_estimate
2011,250.11,250.11,147.02,147.02,1098.6,1098.6,1098.6,46.0,46.0,official,official
2012,291.52,291.52,168.36,168.36,1152.0,1152.0,1152.0,52.0,52.0,official,official
2013,316.84,316.84,184.98,184.98,1295.0,1295.0,1295.0,63.2,63.2,official,official
2014,350.91,350.91,205.27,205.27,1554.0,1554.0,1554.0,79.0,79.0,official,official
2015,390.54,390.54,239.01,239.01,1814.4,1814.4,1814.4,94.0,94.0,official,official
2016,386.54,386.54,228.44,228.44,2086.27,2086.27,2086.27,109.6,109.6,official,official
2017,365.42,365.42,213.38,213.38,2400.0,2400.0,2400.0,130.0,130.0,official,official
2018,381.66,381.66,234.32,234.32,2660.0,2660.0,2660.0,142.0,142.0,official,official
2019,219.62,389.67485999999997,136.91,244.63008,2800.0,2800.0,2800.0,165.0,165.0,official,official
2020,230.34,408.69550702303974,141.54,252.90294005697172,1853.73,1853.73,1853.73,103.4,103.4,official,official
2021,274.2,486.5169229214096,162.01,289.47863020086186,nan,1713.3964702354788,1824.6084605500557,110.0,110.0,per_capita_linear_imputed,official
2022,282.24,500.7824081886895,171.21,305.9171426250822,nan,2203.23434541834,2237.852636321489,160.0,160.0,per_capita_linear_imputed,official
2023,288.31,511.5524947026682,176.19,314.8153808721057,2363.0,2363.0,2363.0,191.5,191.5,official,official
2024,298.87,530.2892514716327,183.97,328.7166446395442,2643.0,2643.0,2643.0,221.0,221.0,official,official
2025,311.94,553.4795366014024,195.17,348.72874672120366,nan,nan,nan,nan,nan,media_holdout,media_holdout
