imputation,year,point_forecast,PI95_low,PI95_high,log_drift,annual_growth
主插补,2026,2906.3520568538356,2487.2823450036813,3486.241273584903,0.07698583432900019,0.08002677698024363
主插补,2027,3138.93804473375,2608.182469911016,4183.489528301885,0.07698583432900019,0.08002677698024363
主插补,2028,3390.13713959446,2797.3125914708403,5020.187433962272,0.07698583432900019,0.08002677698024363
主插补,2029,3661.438888397227,2970.215415374755,5861.408031004597,0.07698583432900019,0.08002677698024363
主插补,2030,3954.452041745783,3190.7437184649757,6819.322401419462,0.07698583432900019,0.08002677698024363
自然样条,2026,2906.3520568538356,2648.7252012645845,3486.241273584903,0.07698583432900019,0.08002677698024363
自然样条,2027,3138.93804473375,2777.4726304904448,4183.489528301885,0.07698583432900019,0.08002677698024363
自然样条,2028,3390.13713959446,2936.453728163701,4812.596101139612,0.07698583432900019,0.08002677698024363
自然样条,2029,3661.438888397227,3178.949376563837,5640.0053710428765,0.07698583432900019,0.08002677698024363
自然样条,2030,3954.452041745783,3436.574740799046,6519.536596211016,0.07698583432900019,0.08002677698024363
