indicator,scenario,year,point_forecast,PI95_low,PI95_high,log_drift,annual_growth
游客接待量_主插补,baseline,2026,2906.3520568538356,2401.8353068406677,3366.4764259197964,0.07698583432900019,0.08002677698024363
游客接待量_主插补,baseline,2027,3138.93804473375,2432.0597844187496,3900.9911145776214,0.07698583432900019,0.08002677698024363
游客接待量_主插补,baseline,2028,3390.13713959446,2518.810021322432,4520.373753057168,0.07698583432900019,0.08002677698024363
游客接待量_主插补,baseline,2029,3661.438888397227,2582.6199260176004,5096.529058813096,0.07698583432900019,0.08002677698024363
游客接待量_主插补,baseline,2030,3954.452041745783,2679.0610483781643,5725.74378702051,0.07698583432900019,0.08002677698024363
游客接待量_主插补,stress,2026,2906.3520568538356,1781.5669392857153,3486.241273584903,0.07698583432900019,0.08002677698024363
游客接待量_主插补,stress,2027,3138.93804473375,1868.164130763831,4183.489528301885,0.07698583432900019,0.08002677698024363
游客接待量_主插补,stress,2028,3390.13713959446,1846.8652682262345,4982.8637832413215,0.07698583432900019,0.08002677698024363
游客接待量_主插补,stress,2029,3661.438888397227,1757.8226777328273,5751.407153362984,0.07698583432900019,0.08002677698024363
游客接待量_主插补,stress,2030,3954.452041745783,1711.7519715612111,6635.556261514627,0.07698583432900019,0.08002677698024363
旅游综合收入,baseline,2026,224.43130693451835,173.61813455540295,279.05169263086566,0.11525231133777775,0.12215653467259169
旅游综合收入,baseline,2027,251.84705766167988,181.91455386161562,334.5969995162747,0.11525231133777775,0.12215653467259169
旅游综合收入,baseline,2028,282.61182149311907,197.47747601548753,394.6405192534152,0.11525231133777775,0.12215653467259169
旅游综合收入,baseline,2029,317.1347022642276,206.68677347144515,467.48882549783883,0.11525231133777775,0.12215653467259169
旅游综合收入,baseline,2030,355.8747785172497,219.26891259334394,550.5076744418875,0.11525231133777775,0.12215653467259169
旅游综合收入,stress,2026,224.43130693451835,125.33333333333331,290.9090909090906,0.11525231133777775,0.12215653467259169
旅游综合收入,stress,2027,251.84705766167988,136.90256410256413,353.566433566433,0.11525231133777775,0.12215653467259169
旅游综合收入,stress,2028,282.61182149311907,134.53556605123794,439.5107200261528,0.11525231133777775,0.12215653467259169
旅游综合收入,stress,2029,317.1347022642276,131.8018331592993,536.8294461822715,0.11525231133777775,0.12215653467259169
旅游综合收入,stress,2030,355.8747785172497,130.5555555555556,652.7380311995681,0.11525231133777775,0.12215653467259169
