indicator,year,original_value,log_value,dlog_value
游客接待量_主插补,2010,848.0,6.742880635791903,
游客接待量_主插补,2011,1098.6,7.00179192090852,0.2589112851166169
游客接待量_主插补,2012,1152.0,7.049254841255837,0.04746292034731692
游客接待量_主插补,2013,1295.0,7.166265974133638,0.11701113287780096
游客接待量_主插补,2014,1554.0,7.348587530927593,0.1823215567939549
游客接待量_主插补,2015,1814.4,7.503510113533433,0.15492258260584002
游客接待量_主插补,2016,2086.27,7.643133061508884,0.13962294797545116
游客接待量_主插补,2017,2400.0,7.783224016336037,0.14009095482715317
游客接待量_主插补,2018,2660.0,7.886081401775745,0.1028573854397079
游客接待量_主插补,2019,2800.0,7.937374696163295,0.05129329438755015
游客接待量_主插补,2020,1853.73,7.524955104452606,-0.4124195917106892
游客接待量_主插补,2021,1713.3964702354788,7.446232919434136,-0.07872218501846984
游客接待量_主插补,2022,2203.23434541834,7.6976817167319425,0.25144879729780634
游客接待量_主插补,2023,2363.0,7.767687277186908,0.0700055604549652
游客接待量_主插补,2024,2643.0,7.879669914604289,0.11198263741738135
游客接待量_主插补,2025,2691.0,7.897668150726906,0.017998236122616973
旅游综合收入,2010,35.5,3.56953269648137,
旅游综合收入,2011,46.0,3.828641396489095,0.259108700007725
旅游综合收入,2012,52.0,3.9512437185814275,0.12260232209233246
旅游综合收入,2013,63.2,4.146304301152812,0.19506058257138426
旅游综合收入,2014,79.0,4.3694478524670215,0.2231435513142097
旅游综合收入,2015,94.0,4.543294782270004,0.17384692980298233
旅游综合收入,2016,109.6,4.696837374513915,0.15354259224391154
旅游综合收入,2017,130.0,4.867534450455582,0.17069707594166683
旅游综合收入,2018,142.0,4.955827057601261,0.08829260714567866
旅游综合收入,2019,165.0,5.10594547390058,0.15011841629931943
旅游综合收入,2020,103.4,4.638604962074329,-0.4673405118262517
旅游综合收入,2021,110.0,4.700480365792417,0.06187540371808797
旅游综合收入,2022,160.0,5.075173815233827,0.37469344944141003
旅游综合收入,2023,191.5,5.2548878086207,0.17971399338687366
旅游综合收入,2024,221.0,5.3981627015177525,0.1432748928970522
旅游综合收入,2025,200.0,5.298317366548036,-0.09984533496971615
