year,F_10k_cny,lnF,dlnF,status
2010,1738,7.460490305825338,,阶段性整理值，待官方逐年复核
2011,2231,7.7102051944325325,0.24971488860719518,阶段性整理值，待官方逐年复核
2012,2899,7.972121128921655,0.261915934489123,阶段性整理值，待官方逐年复核
2013,9457,9.154510487015513,1.1823893580938567,阶段性整理值，待官方逐年复核
2014,6245,8.739536422559677,-0.4149740644558341,阶段性整理值，待官方逐年复核
2015,5593,8.629271094821588,-0.11026532773809007,阶段性整理值，待官方逐年复核
2016,9312,9.139059169971219,0.5097880751496311,阶段性整理值，待官方逐年复核
2017,7986,8.985445287623167,-0.15361388234805248,阶段性整理值，待官方逐年复核
2018,11694,9.366831168735615,0.38138588111244925,阶段性整理值，待官方逐年复核
2019,,,,缺失，不插值
2020,,,,缺失，不插值
2021,,,,缺失，不插值
2022,7445,8.915297945118109,,官方年鉴已核
2023,5677,8.644178203170727,-0.2711197419473831,官方年鉴已核
2024,5110,8.53895468319775,-0.10522351997297605,官方年鉴已核
2025,,,,缺失，不插值
